('88', '229')
('275', '101')
('277', '194')
('45', '214')
('177', '100')
('28', '173')
('248', '278')
('107', '99')
('4', '26')
('162', '174')
('59', '284')
('213', '247')
('224', '7')
('284', '59')
('255', '120')
('137', '136')
('141', '262')
('145', '234')
('12', '286')
('245', '212')
('194', '67')
('266', '227')
('158', '165')
('221', '101')
('111', '198')
('7', '171')
('101', '221')
('5', '243')
('94', '101')
('278', '248')
('286', '12')
('238', '208')
('120', '255')
('19', '263')
('220', '3')
('292', '171')
('263', '19')
('7', '224')
('212', '245')
('243', '5')
('33', '208')
('26', '4')
('262', '141')
('14', '219')
('234', '145')
('171', '292')
('246', '231')
('98', '282')
('83', '99')
('194', '277')
('136', '137')
('229', '88')
('223', '92')
('100', '177')
('1', '25')
('200', '278')
('208', '33')
('198', '111')
('157', '261')
('261', '157')
('165', '158')
('62', '189')
('142', '291')
('101', '275')
('236', '115')
('290', '99')
('25', '1')
('282', '98')
('3', '220')
('278', '200')
('101', '94')
('174', '162')
('253', '200')
('99', '107')
('71', '164')
('164', '71')
('291', '142')
('99', '290')
('189', '62')
('171', '7')
('219', '14')
('92', '223')
('200', '253')
('208', '238')
('247', '213')
('227', '266')
('67', '194')
('99', '83')
('173', '28')
('231', '246')
('18', '262')
('262', '18')
('214', '45')
('115', '236')
